language,prompt_name,prompt_type,is_reasoning,combined_prompt_type,is_preamble,input_text,bleu_1gram,bleu_2gram,bleu_3gram,bleu_4gram,avg_bleu
Chinese,karthik_4_meta_prompt,Zero-Shot,True,Zero-Shot Reasoning,False,large stone birdbath with birds on it,0.7777777777777778,0.6972166887783963,0.6552698332604686,0.6104735835807844,0.6851844708493567
Spanish,preamble4,Zero-Shot,False,Zero-Shot,True,an old brass kettle on a stove,0.7777777777777778,0.7637626158259734,0.7490836021568807,0.7259795291154771,0.7541508812190274
Spanish,preamble1,Zero-Shot,False,Zero-Shot,True,an old brass kettle on a stove,0.7777777777777778,0.7637626158259734,0.7490836021568807,0.7259795291154771,0.7541508812190274
Chinese,preamble3,Zero-Shot,False,Zero-Shot,True,large stone birdbath with birds on it,0.06666666666666667,0.050636968354183326,0.04346727448233666,0.034786626297783826,0.048889383950242615
Spanish,preamble3,Zero-Shot,False,Zero-Shot,True,an old brass kettle on a stove,0.7777777777777778,0.7637626158259734,0.7490836021568807,0.7259795291154771,0.7541508812190274
Chinese,karthik_3_self_consistency,Zero-Shot,True,Zero-Shot Reasoning,False,large stone birdbath with birds on it,0.12727272727272726,0.10855649121315493,0.09844679603557177,0.0846356642331394,0.10472791968864834
Chinese,preamble5,Zero-Shot,False,Zero-Shot,True,large stone birdbath with birds on it,0.060150375939849614,0.04773283284129394,0.042461920012900056,0.035595922644522424,0.04648526285964151
Spanish,preamble2,Zero-Shot,False,Zero-Shot,True,an old brass kettle on a stove,0.5555555555555556,0.5270462766947299,0.49543631365378615,0.44632361378533286,0.5060904399223511
Chinese,preamble1,Zero-Shot,False,Zero-Shot,True,large stone birdbath with birds on it,0.05594405594405595,0.04438311756502357,0.03950037704048756,0.033080146696561494,0.04322692431153215
French,preamble5,Zero-Shot,False,Zero-Shot,True,an old brass kettle on a stove,0.7777777777777778,0.7637626158259734,0.7490836021568807,0.7259795291154771,0.7541508812190274
Spanish,karthik_2_generate_knowledge,Zero-Shot,True,Zero-Shot Reasoning,False,an old brass kettle on a stove,0.47058823529411764,0.45374260648651504,0.43870653902859363,0.4141238765665521,0.44429031434394456
French,preamble4,Zero-Shot,False,Zero-Shot,True,an old brass kettle on a stove,0.7777777777777778,0.7637626158259734,0.7490836021568807,0.7259795291154771,0.7541508812190274
French,preamble1,Zero-Shot,False,Zero-Shot,True,an old brass kettle on a stove,0.7777777777777778,0.7637626158259734,0.7490836021568807,0.7259795291154771,0.7541508812190274
Chinese,karthik_1_tree_of_thoughts,Zero-Shot,True,Zero-Shot Reasoning,False,large stone birdbath with birds on it,0.4,0.2981423969999719,0.22651656746142707,0.1122444464861146,0.25922585273687837
Spanish,karthik_5_chain_of_thought,Zero-Shot,True,Zero-Shot Reasoning,False,an old brass kettle on a stove,0.5555555555555556,0.5270462766947299,0.49543631365378615,0.44632361378533286,0.5060904399223511
French,preamble3,Zero-Shot,False,Zero-Shot,True,an old brass kettle on a stove,0.7777777777777778,0.7637626158259734,0.7490836021568807,0.7259795291154771,0.7541508812190274
French,preamble2,Zero-Shot,False,Zero-Shot,True,an old brass kettle on a stove,0.7777777777777778,0.7637626158259734,0.7490836021568807,0.7259795291154771,0.7541508812190274
Hindi,karthik_3_self_consistency,Zero-Shot,True,Zero-Shot Reasoning,False,large stone birdbath with birds on it,0.06976744186046512,0.0572989854588205,0.04412703117806066,0.017518286331838672,0.04717793620729623
Spanish,karthik_4_meta_prompt,Zero-Shot,True,Zero-Shot Reasoning,False,an old brass kettle on a stove,0.5555555555555556,0.5270462766947299,0.49543631365378615,0.44632361378533286,0.5060904399223511
Hindi,karthik_4_meta_prompt,Zero-Shot,True,Zero-Shot Reasoning,False,large stone birdbath with birds on it,0.19047619047619047,0.1690308509457033,0.14716643028401583,0.11369306152454814,0.15509163330761444
French,karthik_2_generate_knowledge,Zero-Shot,True,Zero-Shot Reasoning,False,an old brass kettle on a stove,0.7777777777777778,0.7637626158259734,0.7490836021568807,0.7259795291154771,0.7541508812190274
Hindi,preamble5,Zero-Shot,False,Zero-Shot,True,an old brass kettle on a stove,0.25,0.059761430466719695,0.04033183084278514,0.03303164318013808,0.09578122612241072
Hindi,preamble4,Zero-Shot,False,Zero-Shot,True,an old brass kettle on a stove,0.25,0.059761430466719695,0.04033183084278514,0.03303164318013808,0.09578122612241072
Spanish,karthik_1_tree_of_thoughts,Zero-Shot,True,Zero-Shot Reasoning,False,an old brass kettle on a stove,0.5555555555555556,0.45643546458763845,0.3135508904498039,0.14923729480049117,0.3686948013483723
Spanish,karthik_3_self_consistency,Zero-Shot,True,Zero-Shot Reasoning,False,an old brass kettle on a stove,0.12000000000000001,0.08571428571428572,0.05508146853279432,0.02388866231285941,0.07117110413998487
Hindi,preamble3,Zero-Shot,False,Zero-Shot,True,an old brass kettle on a stove,0.25,0.059761430466719695,0.04033183084278514,0.03303164318013808,0.09578122612241072
Hindi,preamble1,Zero-Shot,False,Zero-Shot,True,an old brass kettle on a stove,0.25,0.059761430466719695,0.04033183084278514,0.03303164318013808,0.09578122612241072
French,karthik_3_self_consistency,Zero-Shot,True,Zero-Shot Reasoning,False,an old brass kettle on a stove,0.375,0.32732683535398854,0.2649097550589377,0.1374708101760565,0.2761768501472457
French,karthik_5_chain_of_thought,Zero-Shot,True,Zero-Shot Reasoning,False,an old brass kettle on a stove,0.5555555555555556,0.5270462766947299,0.49543631365378615,0.44632361378533286,0.5060904399223511
Hindi,preamble2,Zero-Shot,False,Zero-Shot,True,an old brass kettle on a stove,0.25,0.059761430466719695,0.04033183084278514,0.03303164318013808,0.09578122612241072
Hindi,karthik_2_generate_knowledge,Zero-Shot,True,Zero-Shot Reasoning,False,an old brass kettle on a stove,0.25,0.059761430466719695,0.04033183084278514,0.03303164318013808,0.09578122612241072
Chinese,preamble1,Zero-Shot,False,Zero-Shot,True,an old brass kettle on a stove,0.6666666666666666,0.408248290463863,0.13624724651304662,0.07936880926086218,0.3226327532261096
Chinese,preamble4,Zero-Shot,False,Zero-Shot,True,an old brass kettle on a stove,0.05208333333333335,0.0331133089266261,0.011017156322011072,0.0059511183870866145,0.025541229242264287
Chinese,preamble2,Zero-Shot,False,Zero-Shot,True,an old brass kettle on a stove,0.6666666666666666,0.408248290463863,0.13624724651304662,0.07936880926086218,0.3226327532261096
Chinese,karthik_2_generate_knowledge,Zero-Shot,True,Zero-Shot Reasoning,False,an old brass kettle on a stove,0.7777777777777778,0.5400617248673217,0.16388163579287182,0.09128709291752769,0.3932520578388748
Chinese,preamble5,Zero-Shot,False,Zero-Shot,True,an old brass kettle on a stove,0.051094890510948905,0.047478272357693,0.045095852023976646,0.03973244683255728,0.045850365431293956
French,karthik_1_tree_of_thoughts,Zero-Shot,True,Zero-Shot Reasoning,False,an old brass kettle on a stove,0.875,0.8660254037844386,0.8563285146644029,0.8408964152537145,0.859562583425639
Chinese,preamble3,Zero-Shot,False,Zero-Shot,True,an old brass kettle on a stove,0.0546875,0.0508297296601392,0.04825869453655249,0.0425594747383652,0.049083849733764215
French,karthik_4_meta_prompt,Zero-Shot,True,Zero-Shot Reasoning,False,an old brass kettle on a stove,0.875,0.8660254037844386,0.8563285146644029,0.8408964152537145,0.859562583425639
Chinese,karthik_4_meta_prompt,Zero-Shot,True,Zero-Shot Reasoning,False,an old brass kettle on a stove,0.6666666666666666,0.408248290463863,0.13624724651304662,0.07936880926086218,0.3226327532261096
Chinese,karthik_5_chain_of_thought,Zero-Shot,True,Zero-Shot Reasoning,False,an old brass kettle on a stove,0.7777777777777778,0.5400617248673217,0.16388163579287182,0.09128709291752769,0.3932520578388748
Spanish,preamble5,Zero-Shot,False,Zero-Shot,True,led switch light with touch button on off,0.5841005873035536,0.44153854132913556,0.37266125589818955,0.2979714705451885,0.4240679637690168
Spanish,preamble4,Zero-Shot,False,Zero-Shot,True,led switch light with touch button on off,0.5841005873035536,0.44153854132913556,0.37266125589818955,0.2979714705451885,0.4240679637690168
Spanish,preamble1,Zero-Shot,False,Zero-Shot,True,led switch light with touch button on off,0.48675048941962806,0.3291033976993491,0.24419367901504355,0.12164634345707652,0.2954234773977743
Hindi,karthik_5_chain_of_thought,Zero-Shot,True,Zero-Shot Reasoning,False,an old brass kettle on a stove,0.375,0.23145502494313785,0.098573017775554,0.06500593260343691,0.1925084938305322
Spanish,preamble3,Zero-Shot,False,Zero-Shot,True,led switch light with touch button on off,0.48675048941962806,0.4030676984898244,0.3509008595494185,0.2846946938149361,0.3813534353184518
Spanish,preamble2,Zero-Shot,False,Zero-Shot,True,led switch light with touch button on off,0.5841005873035536,0.44153854132913556,0.37266125589818955,0.2979714705451885,0.4240679637690168
Chinese,karthik_3_self_consistency,Zero-Shot,True,Zero-Shot Reasoning,False,an old brass kettle on a stove,0.875,0.7071067811865475,0.5536178537956702,0.24028114141347542,0.5940014440989233
Chinese,karthik_1_tree_of_thoughts,Zero-Shot,True,Zero-Shot Reasoning,False,an old brass kettle on a stove,0.17647058823529413,0.10341753799900383,0.03333747289278396,0.018120458368871713,0.0828365143739884
French,preamble4,Zero-Shot,False,Zero-Shot,True,led switch light with touch button on off,0.5367694950537757,0.36668337256566885,0.27515885593148404,0.1395873430390535,0.3295497666474955
French,preamble5,Zero-Shot,False,Zero-Shot,True,led switch light with touch button on off,0.5367694950537757,0.36668337256566885,0.27515885593148404,0.1395873430390535,0.3295497666474955
Spanish,karthik_2_generate_knowledge,Zero-Shot,True,Zero-Shot Reasoning,False,led switch light with touch button on off,0.2777777777777778,0.22140372138502384,0.18612398784440445,0.14216645907653844,0.20686798652093613
French,preamble1,Zero-Shot,False,Zero-Shot,True,led switch light with touch button on off,0.5367694950537757,0.36668337256566885,0.27515885593148404,0.1395873430390535,0.3295497666474955
Hindi,karthik_3_self_consistency,Zero-Shot,True,Zero-Shot Reasoning,False,an old brass kettle on a stove,0.10810810810810814,0.07749842582921286,0.05719931750488941,0.026653834710917628,0.06736492153828201
Spanish,karthik_4_meta_prompt,Zero-Shot,True,Zero-Shot Reasoning,False,led switch light with touch button on off,0.5,0.3692744729379982,0.30464245599568107,0.23462350320528,0.3521351080347398
French,preamble2,Zero-Shot,False,Zero-Shot,True,led switch light with touch button on off,0.6,0.5163977794943222,0.4091569047284194,0.17567205239427922,0.42530668415425515
French,karthik_2_generate_knowledge,Zero-Shot,True,Zero-Shot Reasoning,False,led switch light with touch button on off,0.5515605641153721,0.37292300600205397,0.27670768962459374,0.13784336590962212,0.33475865641291047
Spanish,karthik_5_chain_of_thought,Zero-Shot,True,Zero-Shot Reasoning,False,led switch light with touch button on off,0.45454545454545453,0.3692744729379982,0.3154208515212155,0.24808415001701817,0.3468312322554216
French,preamble3,Zero-Shot,False,Zero-Shot,True,led switch light with touch button on off,0.17647058823529413,0.10341753799900383,0.07127425320458042,0.03222323801783205,0.0958464043641776
Hindi,karthik_2_generate_knowledge,Zero-Shot,True,Zero-Shot Reasoning,False,led switch light with touch button on off,0.35294117647058826,0.2572478777137633,0.07811277612061639,0.04213287322556837,0.18260867588263408
Hindi,karthik_1_tree_of_thoughts,Zero-Shot,True,Zero-Shot Reasoning,False,an old brass kettle on a stove,0.08163265306122448,0.058321184351980436,0.04301828454099887,0.019915868267432465,0.050721997555409064
French,karthik_5_chain_of_thought,Zero-Shot,True,Zero-Shot Reasoning,False,led switch light with touch button on off,0.4294155960430205,0.3279715789102868,0.11956475843702466,0.07423667937500511,0.23779715319133424
French,karthik_1_tree_of_thoughts,Zero-Shot,True,Zero-Shot Reasoning,False,led switch light with touch button on off,0.6618726769384466,0.09134710780499013,0.05114593717701001,0.03836398229803295,0.21068242605461993
French,karthik_3_self_consistency,Zero-Shot,True,Zero-Shot Reasoning,False,led switch light with touch button on off,0.1475409836065574,0.11088319064318593,0.07666022791353476,0.029115238680368492,0.09104991021091165
Spanish,karthik_1_tree_of_thoughts,Zero-Shot,True,Zero-Shot Reasoning,False,led switch light with touch button on off,0.49713295378576094,0.4084363993014518,0.35268987699007587,0.2824099048856541,0.38516728374073567
Hindi,preamble2,Zero-Shot,False,Zero-Shot,True,led switch light with touch button on off,0.75,0.5669467095138409,0.17805245459431193,0.10173978273092252,0.3991847367097688
Hindi,preamble4,Zero-Shot,False,Zero-Shot,True,led switch light with touch button on off,0.175,0.13397282541141672,0.07989184412662093,0.03361336783650557,0.1056195093436358
Spanish,karthik_3_self_consistency,Zero-Shot,True,Zero-Shot Reasoning,False,led switch light with touch button on off,0.18181818181818182,0.11605177063713189,0.06511171460495416,0.026439673158567743,0.09735533505470892
French,karthik_4_meta_prompt,Zero-Shot,True,Zero-Shot Reasoning,False,led switch light with touch button on off,0.3333333333333333,0.26726124191242434,0.17954629261351382,0.08225964699966554,0.21560012871473427
Hindi,karthik_5_chain_of_thought,Zero-Shot,True,Zero-Shot Reasoning,False,led switch light with touch button on off,0.75,0.5669467095138409,0.17805245459431193,0.10173978273092252,0.3991847367097688
Hindi,karthik_4_meta_prompt,Zero-Shot,True,Zero-Shot Reasoning,False,an old brass kettle on a stove,0.2857142857142857,0.06900655593423542,0.047098549390932394,0.039281465090051315,0.11027521403237621
Hindi,preamble5,Zero-Shot,False,Zero-Shot,True,led switch light with touch button on off,0.11111111111111109,0.08466675133346034,0.05048143199433135,0.021037114792227918,0.06682410230778267
Chinese,preamble1,Zero-Shot,False,Zero-Shot,True,led switch light with touch button on off,0.25,0.2008048322256247,0.1418145626114353,0.055177848898164926,0.16194931093380624
Chinese,karthik_2_generate_knowledge,Zero-Shot,True,Zero-Shot Reasoning,False,led switch light with touch button on off,0.4166666666666667,0.27524094128159016,0.09337069741532533,0.053863663688318665,0.20978549226297522
Hindi,karthik_3_self_consistency,Zero-Shot,True,Zero-Shot Reasoning,False,led switch light with touch button on off,0.6666666666666666,0.5,0.3329951051503863,0.1561969968460128,0.4139646921657664
Chinese,preamble2,Zero-Shot,False,Zero-Shot,True,led switch light with touch button on off,0.17777777777777776,0.12712834523274566,0.07408928262566798,0.030756843336383892,0.10243806224314383
Chinese,karthik_5_chain_of_thought,Zero-Shot,True,Zero-Shot Reasoning,False,led switch light with touch button on off,0.5,0.3779644730092272,0.29129144784395894,0.1477219991186121,0.32924447999294953
Chinese,preamble3,Zero-Shot,False,Zero-Shot,True,led switch light with touch button on off,0.1346153846153846,0.07265696587939381,0.022792023752680208,0.012115660853829877,0.06054500877532213
Chinese,preamble4,Zero-Shot,False,Zero-Shot,True,led switch light with touch button on off,0.05384615384615384,0.03538694866694593,0.02222578795350833,0.009368458458375457,0.030206837231245887
Hindi,karthik_1_tree_of_thoughts,Zero-Shot,True,Zero-Shot Reasoning,False,led switch light with touch button on off,0.5,0.2357022603955158,0.09072779948417338,0.056122223243057295,0.22063807078068662
Spanish,preamble5,Zero-Shot,False,Zero-Shot,True,the giants team on fire trucks,0.10000000000000002,0.03333333333333335,0.024950558772614845,0.021105340631872645,0.04484730818445521
Hindi,preamble3,Zero-Shot,False,Zero-Shot,True,led switch light with touch button on off,0.09459459459459461,0.0719948988278896,0.04294369554439907,0.01784444937840728,0.05684440958632264
Spanish,preamble4,Zero-Shot,False,Zero-Shot,True,the giants team on fire trucks,0.11111111111111109,0.03726779962499649,0.028067124621919234,0.023980296761827107,0.050106583029963486
Spanish,preamble1,Zero-Shot,False,Zero-Shot,True,the giants team on fire trucks,0.10000000000000002,0.03333333333333335,0.024950558772614845,0.021105340631872645,0.04484730818445521
Spanish,preamble3,Zero-Shot,False,Zero-Shot,True,the giants team on fire trucks,0.10000000000000002,0.03333333333333335,0.024950558772614845,0.021105340631872645,0.04484730818445521
Chinese,karthik_4_meta_prompt,Zero-Shot,True,Zero-Shot Reasoning,False,led switch light with touch button on off,0.32928698165641584,0.21255383267970096,0.09551760232306326,0.06900940978236146,0.1765919566103854
Chinese,karthik_3_self_consistency,Zero-Shot,True,Zero-Shot Reasoning,False,led switch light with touch button on off,0.10714285714285714,0.08827348295047495,0.05402042947134718,0.02284271514102002,0.06806987117642482
Hindi,preamble1,Zero-Shot,False,Zero-Shot,True,led switch light with touch button on off,0.0576923076923077,0.04733368746076422,0.03648499285433739,0.025681020762106106,0.04179800219237886
Chinese,preamble5,Zero-Shot,False,Zero-Shot,True,led switch light with touch button on off,0.023255813953488372,0.015249857033260468,0.009637933324451444,0.004019398101151681,0.013040750603087993
French,preamble5,Zero-Shot,False,Zero-Shot,True,the giants team on fire trucks,0.75,0.6546536707079771,0.5261597794341889,0.23119742295813953,0.5405027182750763
Chinese,karthik_1_tree_of_thoughts,Zero-Shot,True,Zero-Shot Reasoning,False,led switch light with touch button on off,0.5,0.08451542547285168,0.0506976507883329,0.039281465090051315,0.168623635337809
French,preamble4,Zero-Shot,False,Zero-Shot,True,the giants team on fire trucks,0.875,0.7905694150420949,0.6812405754951913,0.5,0.7117024976343216
French,preamble3,Zero-Shot,False,Zero-Shot,True,the giants team on fire trucks,0.875,0.8660254037844386,0.8563285146644029,0.8408964152537145,0.859562583425639
Spanish,karthik_5_chain_of_thought,Zero-Shot,True,Zero-Shot Reasoning,False,the giants team on fire trucks,0.11111111111111109,0.03726779962499649,0.028067124621919234,0.023980296761827107,0.050106583029963486
French,preamble2,Zero-Shot,False,Zero-Shot,True,the giants team on fire trucks,0.75,0.6546536707079771,0.5261597794341889,0.23119742295813953,0.5405027182750763
Spanish,preamble2,Zero-Shot,False,Zero-Shot,True,the giants team on fire trucks,0.012820512820512822,0.004080443192842739,0.0029675521269414604,0.002324796558859722,0.005548326174789186
Spanish,karthik_1_tree_of_thoughts,Zero-Shot,True,Zero-Shot Reasoning,False,the giants team on fire trucks,0.025641025641025644,0.00821440096816907,0.005971913710144566,0.004744188024111083,0.011142882085862591
Spanish,karthik_4_meta_prompt,Zero-Shot,True,Zero-Shot Reasoning,False,the giants team on fire trucks,0.11111111111111109,0.03726779962499649,0.028067124621919234,0.023980296761827107,0.050106583029963486
Spanish,karthik_3_self_consistency,Zero-Shot,True,Zero-Shot Reasoning,False,the giants team on fire trucks,0.011904761904761908,0.0037872267732792643,0.0027550754307639163,0.0021556881658758484,0.005150688068670234
French,preamble1,Zero-Shot,False,Zero-Shot,True,the giants team on fire trucks,0.12500000000000003,0.11677484162422844,0.11051486310868758,0.09880177230676102,0.11277286925991926
Spanish,karthik_2_generate_knowledge,Zero-Shot,True,Zero-Shot Reasoning,False,the giants team on fire trucks,0.05263157894736841,0.017099639201419235,0.012523428510015045,0.010182425646195498,0.023109268076249547
French,karthik_5_chain_of_thought,Zero-Shot,True,Zero-Shot Reasoning,False,the giants team on fire trucks,0.75,0.6546536707079771,0.5261597794341889,0.23119742295813953,0.5405027182750763
French,karthik_2_generate_knowledge,Zero-Shot,True,Zero-Shot Reasoning,False,the giants team on fire trucks,0.625,0.5976143046671968,0.566367013455331,0.5169731539571706,0.5764886180199247
Hindi,karthik_4_meta_prompt,Zero-Shot,True,Zero-Shot Reasoning,False,led switch light with touch button on off,0.35294117647058826,0.21004201260420147,0.06833008443475308,0.03807134866446317,0.1673461555435015
Hindi,preamble4,Zero-Shot,False,Zero-Shot,True,the giants team on fire trucks,0.2,0.04714045207910317,0.03136318607896979,0.025098621243978974,0.075900564850513
French,karthik_4_meta_prompt,Zero-Shot,True,Zero-Shot Reasoning,False,the giants team on fire trucks,0.875,0.8660254037844386,0.8563285146644029,0.8408964152537145,0.859562583425639
French,karthik_1_tree_of_thoughts,Zero-Shot,True,Zero-Shot Reasoning,False,the giants team on fire trucks,0.625,0.5976143046671968,0.566367013455331,0.5169731539571706,0.5764886180199247
Hindi,preamble1,Zero-Shot,False,Zero-Shot,True,the giants team on fire trucks,0.06818181818181818,0.03981989049014241,0.016232812588182325,0.009795841373797659,0.033507590658485145
French,karthik_3_self_consistency,Zero-Shot,True,Zero-Shot Reasoning,False,the giants team on fire trucks,0.15217391304347827,0.14244246232238394,0.11389710426193057,0.04235159460939835,0.11271626855929778
Chinese,karthik_5_chain_of_thought,Zero-Shot,True,Zero-Shot Reasoning,False,the giants team on fire trucks,0.5,0.12909944487358058,0.09635409769034631,0.09554427922043669,0.2052494554460909
Hindi,preamble2,Zero-Shot,False,Zero-Shot,True,the giants team on fire trucks,0.05128205128205127,0.011616917255955381,0.007506775405141993,0.005641822153183602,0.019011891524083065
Chinese,preamble4,Zero-Shot,False,Zero-Shot,True,the giants team on fire trucks,0.04109589041095891,0.00755497356519374,0.004557414096573953,0.00327361330660438,0.014120472844832746
Hindi,preamble3,Zero-Shot,False,Zero-Shot,True,the giants team on fire trucks,0.04838709677419353,0.008906352197498763,0.0053704663326301335,0.0038690034505641548,0.016633229688721645
Chinese,karthik_2_generate_knowledge,Zero-Shot,True,Zero-Shot Reasoning,False,the giants team on fire trucks,0.5,0.12909944487358058,0.09635409769034631,0.09554427922043669,0.2052494554460909
Chinese,karthik_4_meta_prompt,Zero-Shot,True,Zero-Shot Reasoning,False,the giants team on fire trucks,0.7165313105737893,0.16022127184500068,0.12470827561623474,0.10714642219733597,0.27715182005809014
Chinese,preamble5,Zero-Shot,False,Zero-Shot,True,the giants team on fire trucks,0.03448275862068965,0.0173161795717912,0.006739066973218541,0.003905981812403642,0.015610996744525757
Chinese,karthik_3_self_consistency,Zero-Shot,True,Zero-Shot Reasoning,False,the giants team on fire trucks,0.12121212121212123,0.1066003581778052,0.09236581312023687,0.07030983742621925,0.09762203248409564
Chinese,karthik_1_tree_of_thoughts,Zero-Shot,True,Zero-Shot Reasoning,False,the giants team on fire trucks,1.0,1.0,1.0,1.0,1.0
